# OVERALL MODEL COMPARISON METRICS
Model,MAE,MSE,meanAPE (%),medianAPE (%)
Current Estimate (gpu_est_total),1.7625257502409306,31.69326511554312,200.66959792353256,78.6399026673103
Random Forest Model,0.6659179274828706,12.47050193846181,30.97309066636655,11.166786759539125

# FQDN LEVEL MODEL COMPARISON METRICS
fqdn,sample_count,curr_MAE,rf_MAE,curr_MSE,rf_MSE,curr_meanAPE,rf_meanAPE,curr_medianAPE,rf_medianAPE
onnx-roberta-0-0.0.1,243,3.03907578297861,1.2897403658850803,31.799879767202544,12.409062130013254,331.9810145605913,46.92853865138374,97.06147865379869,26.186481367688614
onnx-roberta-1-0.0.1,169,3.803247724958565,1.1275985355601341,43.62918995686197,9.688556456732714,606.31194887015,71.90481277380613,293.9194118946993,34.647660795172335
onnx-roberta-2-0.0.1,453,1.4740505377234547,0.5885806814310739,9.813982089935145,1.685817820275173,223.24189382780858,61.95052276653909,132.3875149477265,32.62578688118675
onnx-roberta-3-0.0.1,264,1.9232820204560266,0.9299662118420491,22.769471968715834,8.327479000944985,166.18007710973,45.96490083475258,72.95402140203868,37.28263292656464
onnx-roberta-4-0.0.1,244,1.43222179155782,0.5090910492690084,9.01929020528173,1.4123224644108632,192.81045519589662,50.05454836882602,67.46234347084689,34.00440361549597
pyhpc-eos-0-0.0.1,39,5.944092295962528,1.2509315705674346,128.27633740045718,5.239253902256733,4940.8199005449915,176.61776524616445,84.15357665072086,11.929734104510743
pyhpc-eos-1-0.0.1,85,5.943786775094935,2.1357139168889145,116.8512634181996,22.584909943937703,2261.102208076875,388.69593294361465,122.73460755359488,45.616783629779945
pyhpc-eos-2-0.0.1,38,5.3568193960957,1.278405736159251,111.77727756857863,10.149300616871823,3155.5825496168336,159.68368154194602,118.99421296679986,36.07534488319583
pyhpc-eos-3-0.0.1,61,4.9129956088612055,2.0735388027403956,50.05053542272414,17.204010286184946,2550.1054789865493,180.72111564821964,109.02819840864753,48.138693662659804
pyhpc-eos-4-0.0.1,49,3.804596770864993,1.716495580661014,31.603157025777893,16.6560887254728,1574.4846729401238,270.8693940377625,69.4638306215461,32.48341171160586
pyhpc-isoneural-0-0.0.1,59,9.405203716042818,3.6401361539427333,217.16002881641936,87.24563468253932,2498.226202533867,132.95765363475707,75.49393146465957,17.26129207770165
