fqdn,tid,e2etime,gpu_est_total,absolute_error,squared_error,percentage_relative_error,session
rodinia-srad-0-0.0.1,2fcd78f73baca067279853ffc4971195,1.819964824,3.453410107097277,1.6334452830972772,2.668143492872744,-89.75147549869773,az-2_0_Landlord_2_4
rodinia-myocyte-4-0.0.1,2fd49dce1971daa92578dbc084b183bd,0.298849421,1.2646940025217481,0.9658445815217481,0.9328557556549207,-323.18770379071543,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,310340cbc2b0580df7d6bb64bfb4ea8d,1.342433959,2.1141699458925087,0.7717359868925087,0.5955764334649543,-57.48781768507904,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,31173a329656c8eaae7ff07f062706df,1.305020081,3.3076845127331107,2.002664431733111,4.010664826128903,-153.458514615233,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,312db9828cda2d9ada6928dd7b6403ad,1.32637831,3.0858810384779027,1.7595027284779028,3.0958498515211845,-132.65466686332522,az-2_0_Landlord_2_4
onnx-roberta-0-0.0.1,314b6e72d6fbdbb4bb1ec293479a6d12,7.094621242,3.1396868631557013,3.9549343788442983,15.641505940964535,55.74553233978404,az-2_0_Landlord_2_4
rodinia-needle-3-0.0.1,318e1962042cc826b3994f08c1cbc66e,1.587661479,2.188980401761197,0.601318922761197,0.3615844468706864,-37.87450478044867,az-2_0_Landlord_2_4
rodinia-needle-2-0.0.1,31da0b00295b229371f624d5c50dfcad,1.429377574,2.2080713586193874,0.7786937846193873,0.6063640102048647,-54.477822989783895,az-2_0_Landlord_2_4
rodinia-pathfinder-1-0.0.1,32133590f36e500acfd035db377ab9bc,0.486401294,1.6980208121278606,1.2116195181278606,1.4680218567083891,-249.09874481704412,az-2_0_Landlord_2_4
rodinia-pathfinder-4-0.0.1,327dd441bc68fa0f7dd4f85d8fa61e1a,2.863139312,4.285712427001143,1.4225731150011431,2.023714267524056,-49.68578053603084,az-2_0_Landlord_2_4
rodinia-lud-0-0.0.1,32c0ba547a80bad510bf6379b941608a,0.497479632,0.9843309024641318,0.4868512704641318,0.2370241595525392,-97.86355845501868,az-2_0_Landlord_2_4
rodinia-lud-0-0.0.1,32c225db7a43fdb95e5707483b425ee9,0.478436236,1.1106843937863833,0.6322481577863832,0.39973773302427534,-132.14888635366307,az-2_0_Landlord_2_4
rodinia-lud-4-0.0.1,32c32d4574485b76e1cca0ab7cf6e6f7,0.442839282,1.7412248675281905,1.2983855855281905,1.685805128707382,-293.19566675844044,az-2_0_Landlord_2_4
rodinia-myocyte-2-0.0.1,3316906488708933b0c71d31aac1b1d6,0.261389084,0.5666695557453478,0.30528047174534784,0.09319616642906212,-116.79159170447524,az-2_0_Landlord_2_4
rodinia-srad-0-0.0.1,334d493246b376f9429a7489c2e3526b,1.697960244,3.364782030493531,1.6668217864935313,2.778294867929487,-98.16612564301779,az-2_0_Landlord_2_4
rodinia-pathfinder-4-0.0.1,33a424b974a8ad2f28965f75a063b8d1,0.587645316,1.2678994581527832,0.6802541421527831,0.4627456979160189,-115.75930644409036,az-2_0_Landlord_2_4
rodinia-needle-2-0.0.1,33b006bf124ea3bdae59ea8d599b6fad,1.364538692,2.2280057258415003,0.8634670338415003,0.7455753185310385,-63.2790435994101,az-2_0_Landlord_2_4
onnx-roberta-1-0.0.1,33e2553357100758729eadf6f4b51d73,0.286462463,2.1273439197044577,1.8408814567044578,3.3888445376383265,-642.6257169702747,az-2_0_Landlord_2_4
rodinia-pathfinder-4-0.0.1,33e3cd0e523f8c2ed5d10a671db64dea,0.446947194,0.9069389483129073,0.45999175431290734,0.21159241403586612,-102.91859094050098,az-2_0_Landlord_2_4
rodinia-lud-0-0.0.1,33ec59ae670524a4b4c94ab670cfd3c5,0.528318495,0.9851613442665227,0.45684284926652263,0.20870538892595472,-86.47110665064311,az-2_0_Landlord_2_4
onnx-roberta-4-0.0.1,33fe23f7c923589996bf18b414745340,0.311093825,5.012976879258967,4.701883054258967,22.10770425592763,-1511.403530513332,az-2_0_Landlord_2_4
rodinia-needle-4-0.0.1,343df778c722f1d17b460f30a4e89b3a,1.374541841,2.8728788694611715,1.4983370284611714,2.245013850857853,-109.00628731469597,az-2_0_Landlord_2_4
